service_number,state,municipality,longitude,latitude,household_size,tarif,initial_date,end_date,total_bill,subsidy_bill,consumption_kwh,tax_iva,cost_supply,cost_distribution,cost_transmission,cost_cenace,cost_energy,cost_capacity,cost_market,cost_dap
3.00E+11,Morelos,Tlaquiltenango,-99.167078,18.525157,2,1B,17/12/2021,16/2/2022,356,692.45,290,45.2,62.86,513.88,50.98,2.15,204.45,138.91,1.74,0
3.00E+11,Morelos,Tlaquiltenango,-99.167078,18.525157,2,1B,18/10/2021,17/12/2021,378,655.19,309,48.06,104.1,439.34,53.67,2.6,210.12,143.99,1.79,0
3.00E+11,Morelos,Tlaquiltenango,-99.167078,18.525157,2,1B,18/8/2021,18/10/2021,374,762.93,347,47.42,105.83,493.37,60.27,2.91,234.38,160.57,2.01,0
3.00E+11,Morelos,Tlaquiltenango,-99.167078,18.525157,2,1B,17/6/2021,18/8/2021,350,784.55,345,44.45,104.1,490.52,59.93,2.9,239.09,163.88,2,0
3.00E+11,Morelos,Tlaquiltenango,-99.167078,18.525157,2,1B,20/4/2021,17/6/2021,352,781.14,348,44.66,104.1,494.16,60.45,2.92,234.9,161.12,2.02,0
3.00E+11,Morelos,Tlaquiltenango,-99.167078,18.525157,2,1B,19/2/2021,20/4/2021,392,735.84,347,49.81,104.1,493.36,60.28,2.92,228.22,156.31,2.01,0
3.00E+11,Morelos,Tlaquiltenango,-99.167078,18.525157,2,1B,21/12/2020,19/2/2021,370,644.84,310,46.99,104.1,440.76,53.85,2.6,199.02,136.4,1.8,0
3.00E+11,Morelos,Tlaquiltenango,-99.167078,18.525157,2,1B,20/10/2020,21/12/2020,417,676.95,348,52.99,101.08,471.54,58.43,2.78,220.98,151.38,1.95,0
3.00E+11,Morelos,Tlaquiltenango,-99.167078,18.525157,2,1B,20/8/2020,20/10/2020,408,787.89,387,51.77,102.77,524.39,64.98,3.09,245.75,168.35,2.16,0
3.00E+11,Morelos,Tlaquiltenango,-99.167078,18.525157,2,1B,19/6/2020,20/8/2020,383,816.81,384,48.57,101.08,520.32,64.47,3.07,254.59,174.72,2.15,0
3.00E+11,Morelos,Tlaquiltenango,-99.167078,18.525157,2,1B,22/4/2020,19/6/2020,367,811.05,372,46.66,101.08,504.06,62.46,2.98,255.19,174.84,2.08,0
3.00E+11,Morelos,Tlaquiltenango,-99.167078,18.525157,2,1B,20/2/2020,22/4/2020,388,758.03,356,49.27,104.44,482.39,59.77,2.85,246.07,168.51,1.99,0
